"ResourceGroupName","VMName","VMStatus","Location","VMSize","OSDisk","OSImageType","AdminUserName","NICId","OSVersion","PrivateIP","ManagedOSDiskURI","UnManagedOSDiskURI","DataDiskNames"
"AZURE-VM-SECUREPASSWORD","DTEKAZPRODSRV01","VM deallocated","westeurope","Standard_B1s","Windows","2016-Datacenter","DTEKAZADMIN","/subscriptions/e8930b88-433c-4dce-a2a7-18d1929510fe/resourceGroups/Azure-Vm-securePassword/providers/Microsoft.Network/networkInterfaces/dtekazprodsrv01381","2016-Datacenter","10.10.30.68","/subscriptions/e8930b88-433c-4dce-a2a7-18d1929510fe/resourceGroups/Azure-Vm-securePassword/providers/Microsoft.Compute/disks/DTEKAZPRODSRV01_OsDisk_1_cd37ef9d69b8441da6896a4da6e4b9e4","This VM has Managed OS Disk",""
"DTEKSVRACCESSRG1","DTEKAZDC001","VM running","westeurope","Standard_B2s","Windows","2016-Datacenter","DTEKAZADMIN","/subscriptions/e8930b88-433c-4dce-a2a7-18d1929510fe/resourceGroups/DTEKSVRAccessRG1/providers/Microsoft.Network/networkInterfaces/dtekazdc001858","2016-Datacenter","10.10.30.132","/subscriptions/e8930b88-433c-4dce-a2a7-18d1929510fe/resourceGroups/DTEKSVRACCESSRG1/providers/Microsoft.Compute/disks/DTEKAZDC001_OsDisk_1_db6572a9295c4129af3a5115584aaf03","This VM has Managed OS Disk",""
