"ResourceGroupName","Location","VNETName","Subnet1","SubnetAddressSpace1","Subnet2","SubnetAddressSpace2","Subnet3","SubnetAddressSpace3","Subnet4","SubnetAddressSpace4"
"DTEKSVRAccessRG1","westeurope","DTEK-PRODUCTION-Vnet1","DTEK-FRONTEND-SN1","10.10.30.0/26","DTEK-MIDTIER-SN1","10.10.30.64/26","DTEK-BACKEND-SN1","10.10.30.128/26","GatewaySubnet","10.10.0.0/24"
"DTEKSVRAccessRG1","westeurope","DTEK-PRODUCTION-VNETP1","DTEK-PRODUCTION-SNETP1","10.1.0.0/22","GatewaySubnet","10.1.255.224/27",,,,
